Date : 2020-05-23 23:34:44
Directory : /Users/kroonhugo/Desktop/React/jobbify
Total : 65 files,  13373 codes, 456 comments, 386 blanks, all 14215 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/debug/java/com/jobbify/ReactNativeFlipper.java | Java        |         59 |          8 |          6 |         73 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/AndroidManifest.xml                       | XML         |         24 |          0 |          4 |         28 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/java/com/jobbify/MainActivity.java        | Java        |          8 |          4 |          4 |         16 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/java/com/jobbify/MainApplication.java     | Java        |         64 |         13 |          9 |         86 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/java/jobbify/MainActivity.java            | Java        |         20 |          4 |          5 |         29 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/java/jobbify/MainApplication.java         | Java        |         91 |          9 |         15 |        115 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/res/values/colors.xml                     | XML         |          4 |          0 |          0 |          4 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/res/values/strings.xml                    | XML         |          3 |          0 |          1 |          4 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/main/res/values/styles.xml                     | XML         |          5 |          2 |          3 |         10 |
| /Users/kroonhugo/Desktop/React/jobbify/android/build.gradle                                           | Groovy      |         29 |          5 |          5 |         39 |
| /Users/kroonhugo/Desktop/React/jobbify/android/gradle.properties                                      | Properties  |          3 |         19 |          7 |         29 |
| /Users/kroonhugo/Desktop/React/jobbify/android/gradle/wrapper/gradle-wrapper.properties               | Properties  |          5 |          0 |          1 |          6 |
| /Users/kroonhugo/Desktop/React/jobbify/android/gradlew.bat                                            | Batch       |         76 |          0 |         25 |        101 |
| /Users/kroonhugo/Desktop/React/jobbify/android/settings.gradle                                        | Groovy      |         13 |          0 |          1 |         14 |
| /Users/kroonhugo/Desktop/React/jobbify/api/databasecalls.js                                           | JavaScript  |          6 |          0 |          2 |          8 |
| /Users/kroonhugo/Desktop/React/jobbify/app.json                                                       | JSON        |          4 |          0 |          0 |          4 |
| /Users/kroonhugo/Desktop/React/jobbify/babel.config.js                                                | JavaScript  |          3 |          0 |          1 |          4 |
| /Users/kroonhugo/Desktop/React/jobbify/components/Continue.js                                         | JavaScript  |         33 |          0 |          6 |         39 |
| /Users/kroonhugo/Desktop/React/jobbify/components/CustomTextinput.js                                  | JavaScript  |         30 |          0 |          6 |         36 |
| /Users/kroonhugo/Desktop/React/jobbify/components/Dropdown.js                                         | JavaScript  |         43 |          0 |          7 |         50 |
| /Users/kroonhugo/Desktop/React/jobbify/components/SettingsChild.js                                    | JavaScript  |         62 |          0 |         11 |         73 |
| /Users/kroonhugo/Desktop/React/jobbify/components/StyledText.js                                       | JavaScript  |          5 |          0 |          2 |          7 |
| /Users/kroonhugo/Desktop/React/jobbify/components/TabBarIcon.js                                       | JavaScript  |         13 |          0 |          3 |         16 |
| /Users/kroonhugo/Desktop/React/jobbify/components/__tests__/StyledText-test.js                        | JavaScript  |          7 |          0 |          4 |         11 |
| /Users/kroonhugo/Desktop/React/jobbify/constants/Colors.js                                            | JavaScript  |         13 |          0 |          2 |         15 |
| /Users/kroonhugo/Desktop/React/jobbify/constants/Layout.js                                            | JavaScript  |         10 |          0 |          3 |         13 |
| /Users/kroonhugo/Desktop/React/jobbify/index.js                                                       | JavaScript  |          4 |          3 |          3 |         10 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/AppDelegate.h                                      | C++         |          5 |          0 |          4 |          9 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/AppDelegate.m                                      | Objective-C |         52 |          0 |         15 |         67 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/Base.lproj/LaunchScreen.xib                        | XML         |         43 |          0 |          1 |         44 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/Images.xcassets/AppIcon.appiconset/Contents.json   | JSON        |         53 |          0 |          1 |         54 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/Images.xcassets/Contents.json                      | JSON        |          6 |          0 |          1 |          7 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbify/main.m                                             | Objective-C |          7 |          0 |          3 |         10 |
| /Users/kroonhugo/Desktop/React/jobbify/ios/jobbifyTests/jobbifyTests.m                                | Objective-C |         51 |          0 |         15 |         66 |
| /Users/kroonhugo/Desktop/React/jobbify/metro.config.js                                                | JavaScript  |         10 |          6 |          2 |         18 |
| /Users/kroonhugo/Desktop/React/jobbify/navigation/BottomTabNavigator.js                               | JavaScript  |         39 |          3 |          7 |         49 |
| /Users/kroonhugo/Desktop/React/jobbify/navigation/useLinking.js                                       | JavaScript  |         17 |          0 |          2 |         19 |
| /Users/kroonhugo/Desktop/React/jobbify/package-lock.json                                              | JSON        |     11,125 |          0 |          1 |     11,126 |
| /Users/kroonhugo/Desktop/React/jobbify/package.json                                                   | JSON        |         59 |          0 |          1 |         60 |
| /Users/kroonhugo/Desktop/React/jobbify/screens/HomeScreen.js                                          | JavaScript  |        164 |          0 |         16 |        180 |
| /Users/kroonhugo/Desktop/React/jobbify/screens/LinksScreen.js                                         | JavaScript  |         69 |          0 |          6 |         75 |
| /Users/kroonhugo/Desktop/React/jobbify/sources/borderRadius.js                                        | JavaScript  |          3 |          0 |          0 |          3 |
| /Users/kroonhugo/Desktop/React/jobbify/sources/colors.js                                              | JavaScript  |         13 |          0 |          0 |         13 |
| /Users/kroonhugo/Desktop/React/jobbify/sources/drawerContent.js                                       | JavaScript  |        123 |          0 |         19 |        142 |
| /Users/kroonhugo/Desktop/React/jobbify/sources/fonts.js                                               | JavaScript  |          4 |          0 |          0 |          4 |
| /Users/kroonhugo/Desktop/React/jobbify/sources/padding.js                                             | JavaScript  |          3 |          0 |          0 |          3 |
| /Users/kroonhugo/Desktop/React/jobbify/views/HomeScreen.js                                            | JavaScript  |        172 |         22 |         30 |        224 |
| /Users/kroonhugo/Desktop/React/jobbify/views/JobScreen.js                                             | JavaScript  |        152 |          0 |         15 |        167 |
| /Users/kroonhugo/Desktop/React/jobbify/views/Login/LoginScreen.js                                     | JavaScript  |         49 |          0 |          9 |         58 |
| /Users/kroonhugo/Desktop/React/jobbify/views/PendingScreen.js                                         | JavaScript  |         90 |          5 |         15 |        110 |
| /Users/kroonhugo/Desktop/React/jobbify/views/ProfileScreen.js                                         | JavaScript  |        158 |          2 |         23 |        183 |
| /Users/kroonhugo/Desktop/React/jobbify/views/SettingsScreen.js                                        | JavaScript  |         62 |          0 |         10 |         72 |
| /Users/kroonhugo/Desktop/React/jobbify/views/bottomTabBar.js                                          | JavaScript  |          0 |          0 |          1 |          1 |
| Total                                                                                                 |             |     13,373 |        456 |        386 |     14,215 |
+-------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
